Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Requests/s,Failures/s,50%,95%,99%,99.9%
POST,/api/v2/Standard,60,0,562.0869835217793,562.0869835217793,429.3951988220215,634.8230838775635,57.27912467890372,0.0,562.0869835217793,562.0869835217793,562.0869835217793,562.0869835217793
POST,/api/v2/Semantic,30,0,878.2363732655843,878.2363732655843,704.6158313751221,905.3587913513184,28.63956233945186,0.0,878.2363732655843,878.2363732655843,878.2363732655843,878.2363732655843
POST,/api/v2/Agentic,10,0,886.2370252609253,886.2370252609253,865.9379482269287,898.622989654541,9.546520779817286,0.0,886.2370252609253,886.2370252609253,886.2370252609253,886.2370252609253
